,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Tamim Iqbal,Imrul Kayes,J Botha,0,0,null,0,0,null,null
1,0.2,Tamim Iqbal,Imrul Kayes,J Botha,0,0,null,0,0,null,null
2,0.3,Tamim Iqbal,Imrul Kayes,J Botha,4,0,null,4,0,null,null
3,0.4,Tamim Iqbal,Imrul Kayes,J Botha,0,0,null,0,0,null,null
4,0.5,Tamim Iqbal,Imrul Kayes,J Botha,0,0,null,0,0,null,null
5,0.6,Tamim Iqbal,Imrul Kayes,J Botha,0,0,null,0,0,null,null
6,1.1,Imrul Kayes,Tamim Iqbal,LL Tsotsobe,0,4,legbyes ,4,0,null,null
7,1.2,Imrul Kayes,Tamim Iqbal,LL Tsotsobe,0,0,null,0,0,null,null
8,1.3,Imrul Kayes,Tamim Iqbal,LL Tsotsobe,0,0,null,0,0,null,null
9,1.4,Imrul Kayes,Tamim Iqbal,LL Tsotsobe,0,1,wides ,1,0,null,null
10,1.5,Imrul Kayes,Tamim Iqbal,LL Tsotsobe,0,0,null,0,0,null,null
11,1.6,Imrul Kayes,Tamim Iqbal,LL Tsotsobe,0,0,null,0,0,null,null
12,1.7,Imrul Kayes,Tamim Iqbal,LL Tsotsobe,4,0,null,4,0,null,null
13,2.1,Tamim Iqbal,Imrul Kayes,J Botha,0,0,null,0,0,null,null
14,2.2,Tamim Iqbal,Imrul Kayes,J Botha,0,0,null,0,0,null,null
15,2.3,Tamim Iqbal,Imrul Kayes,J Botha,0,0,null,0,0,null,null
16,2.4,Tamim Iqbal,Imrul Kayes,J Botha,0,0,null,0,0,null,null
17,2.5,Tamim Iqbal,Imrul Kayes,J Botha,1,0,null,1,0,null,null
18,2.6,Imrul Kayes,Tamim Iqbal,J Botha,0,0,null,0,0,null,null
19,3.1,Tamim Iqbal,Imrul Kayes,LL Tsotsobe,0,0,null,0,0,null,null
20,3.2,Tamim Iqbal,Imrul Kayes,LL Tsotsobe,0,0,null,0,0,null,null
21,3.3,Tamim Iqbal,Imrul Kayes,LL Tsotsobe,0,0,null,0,1,Tamim Iqbal,caught
22,3.4,Junaid Siddique,Imrul Kayes,LL Tsotsobe,0,0,null,0,0,null,null
23,3.5,Junaid Siddique,Imrul Kayes,LL Tsotsobe,0,0,null,0,0,null,null
24,3.6,Junaid Siddique,Imrul Kayes,LL Tsotsobe,0,0,null,0,0,null,null
25,4.1,Imrul Kayes,Junaid Siddique,J Botha,0,0,null,0,0,null,null
26,4.2,Imrul Kayes,Junaid Siddique,J Botha,0,0,null,0,0,null,null
27,4.3,Imrul Kayes,Junaid Siddique,J Botha,0,0,null,0,0,null,null
28,4.4,Imrul Kayes,Junaid Siddique,J Botha,0,0,null,0,0,null,null
29,4.5,Imrul Kayes,Junaid Siddique,J Botha,0,0,null,0,0,null,null
30,4.6,Imrul Kayes,Junaid Siddique,J Botha,0,0,null,0,0,null,null
31,5.1,Junaid Siddique,Imrul Kayes,LL Tsotsobe,0,0,null,0,0,null,null
32,5.2,Junaid Siddique,Imrul Kayes,LL Tsotsobe,1,0,null,1,0,null,null
33,5.3,Imrul Kayes,Junaid Siddique,LL Tsotsobe,0,0,null,0,0,null,null
34,5.4,Imrul Kayes,Junaid Siddique,LL Tsotsobe,0,0,null,0,1,Imrul Kayes,bowled
35,5.5,Shahriar Nafees,Junaid Siddique,LL Tsotsobe,0,0,null,0,0,null,null
36,5.6,Shahriar Nafees,Junaid Siddique,LL Tsotsobe,0,0,null,0,0,null,null
37,6.1,Junaid Siddique,Shahriar Nafees,J Botha,1,0,null,1,0,null,null
38,6.2,Shahriar Nafees,Junaid Siddique,J Botha,0,0,null,0,0,null,null
39,6.3,Shahriar Nafees,Junaid Siddique,J Botha,4,0,null,4,0,null,null
40,6.4,Shahriar Nafees,Junaid Siddique,J Botha,0,0,null,0,0,null,null
41,6.5,Shahriar Nafees,Junaid Siddique,J Botha,1,0,null,1,0,null,null
42,6.6,Junaid Siddique,Shahriar Nafees,J Botha,0,0,null,0,1,Junaid Siddique,lbw
